,Operator Name,Location Name,COMAH tier,Local Authority,Country,postcode,latitude,longitude,x,y
142,IGas Energy Production Limited,Gainsborough Well Site 05 Oil Depot,upper,Bassetlaw,England,DN211AY,53.398198624200305,-0.78209692831241,345.1396894780163,267.9863958748265
143,Industrial Chemicals Limited,Port Clarence Works,upper,Stockton-on-Tees,England,TS21SD,54.5849850600734,-1.20878194751321,319.1067392396103,375.20243903415667
144,Ineos Chemicals Grangemouth Limited,Grangemouth,upper,Falkirk UA,Scotland,FK39XH,56.0194822879994,-3.72482399505196,165.6635193245435,513.0421758648954
145,Ineos Enterprises Group Limited,Sulphuric Acid Plant,upper,Halton UA,England,WA74JE,53.325774547209505,-2.69446626129696,218.11007432311337,265.3773678600737
146,Ineos FPS Limited,Cruden Bay ,upper,Aberdeenshire UA,Scotland,AB420QH,57.39133944,-1.86860991,285.0387245142909,634.8477970531735
147,Ineos FPS Limited,Dalmeny Installation,upper,Edinburgh UA,Scotland,EH309UA,55.9766217544368,-3.37193099602685,187.32066932779426,507.7406442625047
148,Ineos FPS Limited,Kinneil,upper,Falkirk UA,Scotland,FK39XH,56.0194822879994,-3.72482399505196,165.6635193245435,513.0421758648954
149,Ineos FPS Limited,PLPG Installation,upper,Falkirk UA,Scotland,FK39XH,56.0194822879994,-3.72482399505196,165.6635193245435,513.0421758648954
150,Ineos FPS Limited,RLPG Installation,upper,Falkirk UA,Scotland,FK38UD,56.030206,-3.696736,167.46923077416207,513.9159940570062
151,INEOS Nitriles (UK) Limited,Seal Sands Chemical Works,upper,Stockton-on-Tees,England,TS21TX,54.5758514644008,-1.24494188356348,316.75925799256885,374.42487266475155
152,Innospec Limited,Ellesmere Port,upper,Cheshire West and Chester UA,England,CH654EY,53.2825660049035,-2.8782816604047,205.72337654720002,262.1232739764346
153,Inovyn ChlorVinyls Limited,"Castner Kellner\Rock Savage, Runcorn",upper,Halton UA,England,WA74JE,53.325774547209505,-2.69446626129696,218.11007432311337,265.3773678600737
154,Inovyn ChlorVinyls Limited,Newton Aycliffe,upper,Durham County UA,England,DL56EA,54.609384725856,-1.58643729264502,294.8403157135053,378.0065922348181
