Operator Name,Location Name,Address Name,Address Street,Address Town,Address County,Address Postcode 1,Address Postcode 2,Incumbent Duty Type Text,Previous Name,LA Code,Local Authority,Country
Treatt Plc,Bury St Edmunds,,Northern Way,Bury St Edmunds,Suffolk,IP32,6NL,COMAH Upper Tier Operator,,3525,St Edmundsbury,England
Tronox Pigment UK Limited,Grimsby,Po Box 26,Laporte Road,"Stallingborough, Grimsby",North East Lincolnshire ,DN40,2PR,COMAH Upper Tier Operator, (was Cristal Pigment UK Limited (was Millennium Inorganic Chemicals Ltd),2002,North East Lincolnshire,England
Unilever UK Limited,Leeds,Coal Road,Seacroft,Leeds,West Yorkshire,LS14,2AR,COMAH Upper Tier Operator,,4720,Leeds,England
Unilever UK Limited,Port Sunlight - Unilever Home & Personal Care,PO Box 69,Port Sunlight,Wirral,Merseyside,CH62,4ZD,COMAH Upper Tier Operator,,4325,Wirral,England
United Agri Products Limited,Huntingdon,,The Crossways,Huntingdon,Cambridgeshire,PE28,4JH,COMAH Upper Tier Operator,,0520,Huntingdon,England
Univar Solutions UK Limited,Cadishead,Northbank Industrial Park,Martens Road,Cadishead,Greater Manchester,M44,5AX,COMAH Upper Tier Operator, (was Univar Limited),4230,Salford,England
Univar Solutions UK Limited,"Cargo Fleet, Middlesbrough",,Pine Street ,Middlesbrough,Cleveland ,TS3 ,8BD,COMAH Upper Tier Operator, (was Univar Limited),0734,Middlesbrough UA,England
Univar Solutions UK Limited,"Hale Road Industrial Estate, Widnes",Hale Road Industrial Estate,Pickerings Road,Widnes,Cheshire,WA8 ,8XW,COMAH Upper Tier Operator, (was Univar Limited),0650,Halton UA,England
Urenco ChemPlants Limited,Chester,,Capenhurst,Chester,Cheshire,CH1,6ER,COMAH Upper Tier Operator,,0660,Cheshire West and Chester UA,England
Vale Europe Limited,Clydach Refinery,Glais Road,Clydach,Swansea,West Glamorgan,SA6 ,5QR,COMAH Upper Tier Operator,,6930,Neath & Port Talbot UA,Wales
Valero Energy Limited,Pembroke Refinery,,,Pembroke,Pembrokeshire ,SA71,5SJ,COMAH Upper Tier Operator, (was Chevron Limited),6845,Pembrokeshire UA,Wales
Valero Logistics UK Limited,Avonmouth,Royal Edward Dock,Holesmouth Road,Avonmouth,South Gloucestershire,BS11,9BE,COMAH Upper Tier Operator, (was Valero Energy Ltd was Bristol Oil Storage Ltd - Chevron Ltd),0116,Bristol UA,England
Valero Logistics UK Limited,"Cardiff, Roath Dock",,Rover Way,Cardiff,South Glamorgan ,CF10,4US,COMAH Upper Tier Operator, (was Valero Energy Ltd was Chevron Limited),6815,Cardiff UA,Wales
Valero Logistics UK Limited,Kingsbury ,Kingsbury Terminal,Trinity Road,Kingsbury,Warwickshire,B78 ,2EF,COMAH Upper Tier Operator, (was Valero Energy Ltd was Chevron Limited),3705,North Warwickshire,England
Valero Logistics UK Limited,Plymouth Terminal Site,Plymouth Terminal Site,Oakfield Terrace Road ,Plymouth,Devon,PL4,0RY,COMAH Upper Tier Operator, (was Valero Energy Ltd was Chevron Limited),1160,Plymouth UA,England
Valero Logistics UK Limited,Trafford Park,,"Churchill Way, Trafford Park",Manchester,Greater Manchester,M17,1BS,COMAH Upper Tier Operator, (was Valero Energy Ltd was Esso Petroleum Company Ltd),4245,Trafford,England
Valero Pembrokeshire Oil Terminal Limited,Waterston Refinery,"P O Box 22, Main Road",Waterston,Miford Haven,Pembrokeshire ,SA73,1DR,COMAH Upper Tier Operator, (was SemLogistics Milford Haven Ltd),6845,Pembrokeshire UA,Wales
Valtris Specialty Chemicals Limited,Eccles,Lankro Way,Bentcliffe Way,Manchester,Greater Manchester,M30 ,0BH,COMAH Upper Tier Operator, (was Akcros Chemicals Limited),4230,Salford,England
Venator Materials UK Limited,Hartlepool - Greatham Site,Greatham Site,Tees Road ,Hartlepool,Cleveland ,TS25,2DD,COMAH Upper Tier Operator, (was Huntsman Pigments and Additives UK Limited (was Tioxide Europe Limited),0724,Hartlepool,England
Veolia ES (UK) Limited,Ellesmere Port,Incineration Plant,Bridges Road,South Wirral,Cheshire,L65 ,4EQ,COMAH Upper Tier Operator,,0660,Cheshire West and Chester UA,England
Veolia ES (UK) Limited,Sheffield,Norwood Industrial Estate,Rotherham Road,Sheffield,South Yorkshire,S21 ,2DR,COMAH Upper Tier Operator,,1035,North East Derbyshire,England
Versalis UK Limited,Grangemouth,,Boness Road,Grangemouth,Falkirk ,FK3,9XE,COMAH Upper Tier Operator, (was Polimeri Europa UK Ltd),9065,Falkirk UA,Scotland
Vertellus Specialities UK Limited,Middlesbrough,,Seal Sands Road ,Middlesbrough,Cleveland ,TS2 ,1UB,COMAH Upper Tier Operator,,0738,Stockton-on-Tees,England
Vertellus Specialties UK Limited,Widnes,,Lower Road,Widnes,Cheshire,WA8 ,8NS,COMAH Upper Tier Operator, (was Pentagon Fine Chemicals Ltd),4305,Knowsley,England
Vertellus Specialties UK Limited,Workington,,Northside                     ,Workington          ,Cumbria                       ,CA14,1JJ,COMAH Upper Tier Operator, (was Pentagon Fine Chemicals Ltd),0905,Allerdale,England
Victrex Manufacturing Limited,Victrex DFDPM,,Gin House Lane,Rotherham,South Yorkshire,S61,4QH,COMAH Upper Tier Operator,,4415,Rotherham,England
Vita Cellular Foams (UK) Limited,Manchester,Oldham Road/Soudan Street,Middleton,Manchester,Greater Manchester            ,M24,2DB,COMAH Upper Tier Operator, (was Vitafoam Ltd),4225,Rochdale,England
